classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
tench,2,"['bittern bird', 'sturgeon']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,1.0,0.96,0.001,0.98,0,1300
goldfish,4,"['water snake', 'jellyfish', 'nematode', 'sea slug']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.92,0.92,0.001,0.92,1,1300
great white shark,4,"['tiger shark', 'hammerhead shark', 'grey whale', 'dugong']","[0.08, 0.04, 0.02, 0.02]",0.8164965809277261,0.8400000000000001,0.857,0.84,0.001,0.848,2,1300
tiger shark,4,"['hammerhead shark', 'great white shark', 'grey whale', 'dugong']","[0.06, 0.04, 0.04, 0.02]",0.0,0.8400000000000001,0.792,0.84,0.001,0.816,3,1300
hammerhead shark,6,"['tiger shark', 'great white shark', 'electric ray', 'snoek fish', 'silver salmon']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.86,0.843,0.86,0.001,0.851,4,1300
electric ray,7,"['tiger shark', 'stingray', 'great white shark', 'killer whale', 'sea cucumber']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.8200000000000001,0.774,0.82,0.001,0.797,5,1300
stingray,5,"['electric ray', 'great white shark', 'hammerhead shark', 'velvet fabric', 'promontory']","[0.0799999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.499999999999999,0.84,0.875,0.84,0.001,0.857,6,1300
rooster,5,"['hen', 'ruffed grouse', 'partridge', 'flamingo', 'cannon']","[0.1599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000004,0.7599999999999999,0.776,0.76,0.001,0.768,7,1300
hen,4,"['rooster', 'american coot', 'collie', 'harp']","[0.1399999999999999, 0.02, 0.02, 0.02]",1.1547005383792512,0.8,0.784,0.8,0.001,0.792,8,1300
ostrich,1,['chain link fence'],[0.02],0.0,0.98,0.961,0.98,0.001,0.97,9,1300
brambling,3,"['goldfinch', 'american robin', 'dunlin']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.979,0.94,0.001,0.96,10,1300
goldfinch,2,"['bulbul', 'toucan']","[0.02, 0.02]",0.0,0.96,0.941,0.96,0.001,0.95,11,1300
house finch,3,"['goldfinch', 'junco', 'black grouse']","[0.02, 0.02, 0.02]",0.0,0.94,0.922,0.94,0.001,0.931,12,1300
junco,0,[],[],0.0,1.0,0.962,1.0,0.001,0.981,13,1300
indigo bunting,3,"['house finch', 'bald eagle', 'coucal']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.959,0.94,0.001,0.95,14,1300
american robin,1,['split rail fence'],[0.04],0.0,0.96,0.889,0.96,0.001,0.924,15,1300
bulbul,5,"['goldfinch', 'jay', 'coucal', 'hummingbird', 'common gallinule']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.9,0.9,0.001,0.9,16,1300
jay,3,"['indigo bunting', 'bulbul', 'little blue heron']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.959,0.94,0.001,0.95,17,1300
magpie,3,"['bulbul', 'coucal', 'gazelle']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.9399999999999998,0.959,0.94,0.001,0.95,18,1300
chickadee,0,[],[],0.0,1.0,1.0,1.0,0.001,1.0,19,1300
american dipper,6,"['brambling', 'hummingbird', 'jacamar', 'rock crab', 'american coot']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,1.0,0.88,0.001,0.94,20,1300
kite bird of prey,8,"['magpie', 'ruffed grouse', 'bald eagle', 'vulture', 'bittern bird']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.8000000000000002,0.851,0.8,0.001,0.826,21,1300
bald eagle,2,"['kite bird of prey', 'hornbill']","[0.04, 0.02]",1.030425744730223e-15,0.94,0.94,0.94,0.001,0.94,22,1300
vulture,2,"['kite bird of prey', 'crane bird']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.857,0.96,0.001,0.908,23,1300
great grey owl,1,['snowmobile'],[0.02],0.0,0.98,0.98,0.98,0.001,0.98,24,1300
fire salamander,1,['smooth newt'],[0.02],0.0,0.98,0.891,0.98,0.001,0.936,25,1300
smooth newt,6,"['spotted salamander', 'fire salamander', 'newt', 'axolotl', 'worm snake']","[0.16, 0.06, 0.06, 0.06, 0.02]",1.0554729100314697,0.62,0.62,0.62,0.001,0.62,26,1300
newt,4,"['smooth newt', 'desert grassland whiptail lizard', 'bottle cap', 'mitten']","[0.1999999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.154700538379252,0.7399999999999999,0.902,0.74,0.001,0.821,27,1300
spotted salamander,4,"['fire salamander', 'smooth newt', 'american bullfrog', 'baby pacifier']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.1547005383792512,0.8799999999999999,0.846,0.88,0.001,0.863,28,1300
axolotl,3,"['smooth newt', 'sturgeon', 'loupe magnifying glass']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.885,0.92,0.001,0.903,29,1300
american bullfrog,6,"['water snake', 'tailed frog', 'tree frog', 'green iguana', 'fiddler crab']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.7800000000000001,0.886,0.78,0.001,0.833,30,1300
tree frog,2,"['tailed frog', 'sandal']","[0.08, 0.02]",3.85494105772624e-16,0.8999999999999999,0.833,0.9,0.001,0.866,31,1300
tailed frog,10,"['tree frog', 'american bullfrog', 'smooth newt', 'carolina anole', 'eastern hog nosed snake']","[0.12, 0.08, 0.04, 0.02, 0.02]",0.6122692078855394,0.62,0.705,0.62,0.001,0.662,32,1300
loggerhead sea turtle,6,"['hammerhead shark', 'tree frog', 'leatherback sea turtle', 'terrapin', 'duck']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999999,0.786,0.88,0.001,0.833,33,1300
leatherback sea turtle,10,"['loggerhead sea turtle', 'terrapin', 'lifeboat', 'great white shark', 'box turtle']","[0.12, 0.04, 0.04, 0.02, 0.02]",1.2864700617061366,0.6600000000000001,0.868,0.66,0.001,0.764,34,1300
mud turtle,7,"['terrapin', 'box turtle', 'leatherback sea turtle', 'electric ray', 'loggerhead sea turtle']","[0.24, 0.1, 0.04, 0.02, 0.02]",1.1029293035190202,0.54,0.643,0.54,0.001,0.592,35,1300
terrapin,4,"['mud turtle', 'box turtle', 'tailed frog', 'ruler measuring stick']","[0.24, 0.16, 0.02, 0.02]",0.2572579124509822,0.5599999999999999,0.571,0.56,0.001,0.566,36,1300
box turtle,2,"['terrapin', 'mud turtle']","[0.1, 0.04]",0.0,0.86,0.729,0.86,0.001,0.794,37,1300
banded gecko,6,"['tailed frog', 'desert grassland whiptail lizard', 'agama', 'alligator lizard', 'chameleon']","[0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.0,0.8799999999999999,0.898,0.88,0.001,0.889,38,1300
green iguana,5,"['european green lizard', 'carolina anole', 'alligator lizard', 'fiddler crab', 'geoffroys spider monkey']","[0.1599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000004,0.7599999999999998,0.809,0.76,0.001,0.784,39,1300
carolina anole,2,"['european green lizard', 'alligator lizard']","[0.4799999999999999, 0.0399999999999999]",3.6651539971472046e-16,0.4799999999999999,0.558,0.48,0.001,0.519,40,1300
desert grassland whiptail lizard,4,"['alligator lizard', 'agama', 'gila monster', 'chameleon']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.763,0.9,0.001,0.832,41,1300
agama,5,"['desert grassland whiptail lizard', 'european green lizard', 'smooth newt', 'frilled necked lizard', 'alligator lizard']","[0.0599999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",0.8437499999999999,0.84,0.875,0.84,0.001,0.857,42,1300
frilled necked lizard,4,"['tailed frog', 'desert grassland whiptail lizard', 'agama', 'coucal']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.958,0.92,0.001,0.939,43,1117
alligator lizard,6,"['desert grassland whiptail lizard', 'carolina anole', 'smooth newt', 'european green lizard', 'clogs']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.7799999999999999,0.765,0.78,0.001,0.772,44,1300
gila monster,7,"['komodo dragon', 'banded gecko', 'green iguana', 'kingsnake', 'conch']","[0.08, 0.02, 0.02, 0.02, 0.02]",1.5000000000000002,0.8,0.93,0.8,0.001,0.865,45,1300
european green lizard,9,"['carolina anole', 'chameleon', 'green iguana', 'banded gecko', 'desert grassland whiptail lizard']","[0.24, 0.06, 0.04, 0.02, 0.02]",1.3856295943127042,0.54,0.429,0.54,0.001,0.485,46,1300
chameleon,8,"['agama', 'tailed frog', 'banded gecko', 'desert grassland whiptail lizard', 'alligator lizard']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.854,0.82,0.001,0.837,47,1300
komodo dragon,1,['green iguana'],[0.02],0.0,0.98,0.875,0.98,0.001,0.928,48,1300
nile crocodile,7,"['american alligator', 'red fox', 'starfish', 'hippopotamus', 'otter']","[0.08, 0.02, 0.02, 0.02, 0.02]",1.5000000000000002,0.8,0.851,0.8,0.001,0.826,49,1300
american alligator,5,"['nile crocodile', 'water snake', 'limpkin', 'sea urchin', 'otter']","[0.12, 0.02, 0.02, 0.02, 0.02]",1.4999999999999991,0.8,0.889,0.8,0.001,0.844,50,1300
triceratops,3,"['komodo dragon', 'fountain', 'palace']","[0.02, 0.02, 0.02]",0.0,0.94,0.94,0.94,0.001,0.94,51,1266
worm snake,8,"['ring necked snake', 'night snake', 'kingsnake', 'wolf spider', 'nematode']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.8,0.635,0.8,0.001,0.718,52,1300
ring necked snake,6,"['worm snake', 'water snake', 'sidewinder rattlesnake', 'rock crab', 'gordon setter']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8599999999999999,0.782,0.86,0.001,0.821,53,1300
eastern hog nosed snake,10,"['saharan horned viper', 'garter snake', 'eastern diamondback rattlesnake', 'worm snake', 'ring necked snake']","[0.1, 0.06, 0.06, 0.04, 0.02]",0.3700366501636203,0.6200000000000001,0.756,0.62,0.001,0.688,54,1300
smooth green snake,4,"['green mamba', 'vine snake', 'carolina anole', 'african rock python']","[0.24, 0.12, 0.02, 0.02]",0.5817856007845572,0.6,0.714,0.6,0.001,0.657,55,1300
kingsnake,5,"['eastern hog nosed snake', 'night snake', 'banded gecko', 'worm snake', 'indian cobra']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.86,0.878,0.86,0.001,0.869,56,1300
garter snake,6,"['worm snake', 'alligator lizard', 'ring necked snake', 'night snake', 'eastern diamondback rattlesnake']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8600000000000001,0.915,0.86,0.001,0.888,57,1300
water snake,7,"['night snake', 'ring necked snake', 'stingray', 'tailed frog', 'worm snake']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.8,0.645,0.8,0.001,0.722,58,1300
vine snake,10,"['night snake', 'green mamba', 'smooth green snake', 'indigo bunting', 'water snake']","[0.06, 0.06, 0.04, 0.02, 0.02]",-4.848699518061081e-16,0.7,0.795,0.7,0.001,0.748,59,1300
night snake,13,"['ring necked snake', 'eastern hog nosed snake', 'boa constrictor', 'worm snake', 'indian cobra']","[0.08, 0.08, 0.08, 0.06, 0.04]",-0.8437499999999993,0.48,0.471,0.48,0.001,0.476,60,1300
boa constrictor,7,"['african rock python', 'worm snake', 'smooth green snake', 'kingsnake', 'night snake']","[0.06, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.719,0.82,0.001,0.77,61,1300
african rock python,9,"['boa constrictor', 'night snake', 'water snake', 'eastern diamondback rattlesnake', 'banded gecko']","[0.1399999999999999, 0.08, 0.06, 0.06, 0.02]",0.5677202789263074,0.5599999999999999,0.737,0.56,0.001,0.649,62,1071
indian cobra,5,"['worm snake', 'night snake', 'green mamba', 'saharan horned viper', 'white headed capuchin']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.83,0.88,0.001,0.855,63,1300
