classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
tench,4,"['spoonbill', 'snoek fish', 'gar fish', 'swing']","[0.02, 0.02, 0.02, 0.02]",0.0,0.92,0.939,0.92,0.001,0.93,0,1255
goldfish,5,"['harvestman', 'jellyfish', 'nematode', 'isopod', 'wine bottle']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.918,0.9,0.001,0.909,1,881
great white shark,7,"['tiger shark', 'hammerhead shark', 'grey whale', 'killer whale', 'silver salmon']","[0.1399999999999999, 0.1399999999999999, 0.02, 0.02, 0.02]",0.4082482904638631,0.6200000000000001,0.738,0.62,0.001,0.679,2,794
tiger shark,8,"['hammerhead shark', 'great white shark', 'stingray', 'platypus', 'grey whale']","[0.1399999999999999, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.7200000000000002,0.61,0.72,0.001,0.665,3,843
hammerhead shark,7,"['tiger shark', 'stingray', 'stage', 'dugong', 'silver salmon']","[0.06, 0.04, 0.04, 0.02, 0.02]",0.3436215967445453,0.7800000000000001,0.542,0.78,0.001,0.661,4,860
electric ray,9,"['stingray', 'tiger shark', 'trilobite', 'platypus', 'brain coral']","[0.1199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999991,0.72,0.562,0.72,0.001,0.641,5,1201
stingray,12,"['electric ray', 'tiger shark', 'hammerhead shark', 'box turtle', 'sea cucumber']","[0.2, 0.04, 0.02, 0.02, 0.02]",1.456547284601344,0.5599999999999999,0.509,0.56,0.001,0.534,6,1076
rooster,7,"['hen', 'black grouse', 'flamingo', 'komondor', 'brass memorial plaque']","[0.3, 0.04, 0.02, 0.02, 0.02]",1.4819761556523587,0.5599999999999999,0.824,0.56,0.001,0.692,7,876
hen,8,"['rooster', 'house finch', 'black grouse', 'american coot', 'beaver']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.5000000000000002,0.7999999999999998,0.667,0.8,0.001,0.734,8,890
ostrich,2,"['bustard', 'quill']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.923,0.96,0.001,0.942,9,940
brambling,7,"['junco', 'house finch', 'american dipper', 'worm snake', 'quail']","[0.1, 0.02, 0.02, 0.02, 0.02]",1.4999999999999996,0.7800000000000001,0.812,0.78,0.001,0.796,10,1110
goldfinch,2,"['sulphur butterfly', 'vase']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.98,0.96,0.001,0.97,11,883
house finch,3,"['brambling', 'junco', 'american robin']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.868,0.92,0.001,0.894,12,1015
junco,2,"['chickadee', 'house finch']","[0.04, 0.02]",1.030425744730223e-15,0.94,0.839,0.94,0.001,0.89,13,1065
indigo bunting,6,"['house finch', 'bald eagle', 'alligator lizard', 'coucal', 'park bench']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,0.917,0.88,0.001,0.899,14,921
american robin,5,"['brambling', 'bulbul', 'quail', 'hummingbird', 'bouvier des flandres dog']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.882,0.9,0.001,0.891,15,923
bulbul,4,"['coucal', 'brambling', 'bald eagle', 'lorikeet']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.8999999999999999,0.789,0.9,0.001,0.844,16,1096
jay,6,"['magpie', 'bulbul', 'indigo bunting', 'brambling', 'little blue heron']","[0.08, 0.06, 0.04, 0.02, 0.02]",0.3631734744194302,0.7600000000000001,1.0,0.76,0.001,0.88,17,910
magpie,9,"['bulbul', 'brambling', 'kite bird of prey', 'peafowl', 'limpkin']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.833,0.8,0.001,0.816,18,1117
chickadee,3,"['bulbul', 'junco', 'magpie']","[0.04, 0.02, 0.02]",0.7071067811865479,0.92,0.958,0.92,0.001,0.939,19,874
american dipper,9,"['ruddy turnstone', 'brambling', 'house finch', 'bulbul', 'magpie']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.87,0.8,0.001,0.835,20,1197
kite bird of prey,11,"['bald eagle', 'vulture', 'hen', 'house finch', 'great grey owl']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.74,0.74,0.74,0.001,0.74,21,949
