classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,Accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
tench,11,"['silver salmon', 'lawn mower', 'goldfish', 'green iguana', 'pelican']","[0.04, 0.04, 0.02, 0.02, 0.02]",0.4082482904638644,0.7400000000000001,0.881,0.74,0.001,0.81,0,91
goldfish,9,"['water snake', 'nematode', 'sea slug', 'ladybug', 'basketball']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8200000000000001,0.854,0.82,0.001,0.837,1,835
great white shark,2,"['hammerhead shark', 'killer whale']","[0.1, 0.02]",2.8102520310824285e-16,0.88,0.468,0.88,0.002,0.674,2,954
tiger shark,5,"['great white shark', 'hammerhead shark', 'dugong', 'grey whale', 'scuba diver']","[0.42, 0.24, 0.04, 0.02, 0.02]",0.7643222530551801,0.26,0.542,0.26,0.0,0.401,3,131
hammerhead shark,9,"['great white shark', 'tiger shark', 'axolotl', 'dugong', 'pig']","[0.12, 0.06, 0.02, 0.02, 0.02]",1.0269996056981547,0.68,0.548,0.68,0.001,0.614,4,461
electric ray,16,"['stingray', 'sea cucumber', 'gar fish', 'sunglasses.1', 'great white shark']","[0.2199999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.4580548133159807,0.42,0.6,0.42,0.001,0.51,5,442
stingray,13,"['electric ray', 'great white shark', 'hammerhead shark', 'lionfish', 'dough']","[0.18, 0.06, 0.04, 0.04, 0.04]",1.4286267334338287,0.48,0.522,0.48,0.001,0.501,6,528
rooster,9,"['hen', 'prairie grouse', 'peafowl', 'flamingo', 'barbershop']","[0.3600000000000001, 0.04, 0.02, 0.02, 0.02]",1.4877737901859671,0.4600000000000001,0.821,0.46,0.001,0.64,7,459
hen,8,"['rooster', 'vulture', 'ruffed grouse', 'american coot', 'barn']","[0.08, 0.04, 0.02, 0.02, 0.02]",1.1500493356615296,0.7600000000000001,0.535,0.76,0.001,0.648,8,440
ostrich,2,"['wallaby', 'dough']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.923,0.96,0.001,0.942,9,699
brambling,6,"['junco', 'goldfinch', 'water snake', 'ruddy turnstone', 'dowitcher']","[0.1399999999999999, 0.1, 0.02, 0.02, 0.02]",0.592927061281571,0.68,0.895,0.68,0.001,0.788,10,352
goldfinch,0,[],[],0.0,1.0,0.588,1.0,0.002,0.794,11,989
house finch,3,"['goldfinch', 'bulbul', 'goose']","[0.02, 0.02, 0.02]",0.0,0.94,0.797,0.94,0.001,0.868,12,626
junco,1,['goldfinch'],[0.02],0.0,0.98,0.721,0.98,0.001,0.85,13,570
indigo bunting,6,"['junco', 'bulbul', 'magpie', 'peafowl', 'birdhouse']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.88,0.83,0.88,0.001,0.855,14,389
american robin,4,"['junco', 'goldfinch', 'chickadee', 'fountain']","[0.04, 0.02, 0.02, 0.02]",1.1547005383792517,0.9,0.978,0.9,0.001,0.939,15,520
bulbul,7,"['goldfinch', 'house finch', 'indigo bunting', 'coucal', 'bald eagle']","[0.06, 0.04, 0.04, 0.04, 0.02]",3.4285483091569353e-16,0.7600000000000001,0.884,0.76,0.001,0.822,16,397
jay,8,"['indigo bunting', 'magpie', 'brambling', 'chickadee', 'goldfinch']","[0.08, 0.06, 0.04, 0.04, 0.02]",0.2715454178836398,0.7,1.0,0.7,0.001,0.85,17,85
magpie,10,"['goldfinch', 'indigo bunting', 'chickadee', 'bald eagle', 'quail']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8,0.8,0.8,0.001,0.8,18,505
chickadee,2,"['goldfinch', 'bulbul']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.787,0.96,0.001,0.874,19,1061
american dipper,14,"['common redshank', 'goldfinch', 'junco', 'ruddy turnstone', 'oystercatcher']","[0.08, 0.04, 0.04, 0.04, 0.04]",1.5000000000000009,0.5599999999999999,1.0,0.56,0.001,0.78,20,107
kite bird of prey,14,"['bald eagle', 'ruffed grouse', 'coucal', 'limpkin', 'hen']","[0.1399999999999999, 0.04, 0.04, 0.04, 0.02]",1.3703729243142675,0.54,0.628,0.54,0.001,0.584,21,340
bald eagle,3,"['house finch', 'kite bird of prey', 'vulture']","[0.02, 0.02, 0.02]",0.0,0.94,0.783,0.94,0.001,0.861,22,1393
vulture,9,"['kite bird of prey', 'hen', 'bald eagle', 'ruffed grouse', 'hornbill']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.8,0.8,0.001,0.8,23,515
great grey owl,2,"['kite bird of prey', 'dog sled']","[0.0199999999999999, 0.0199999999999999]",0.0,0.96,0.96,0.96,0.001,0.96,24,724
fire salamander,3,"['spotted salamander', 'toucan', 'necklace']","[0.1, 0.02, 0.02]",0.7071067811865477,0.86,0.878,0.86,0.001,0.869,25,458
smooth newt,15,"['spotted salamander', 'fire salamander', 'worm snake', 'goldfish', 'newt']","[0.22, 0.06, 0.04, 0.02, 0.02]",1.361323120053111,0.44,0.449,0.44,0.001,0.444,26,363
newt,12,"['smooth newt', 'tree frog', 'ring necked snake', 'goldfish', 'spotted salamander']","[0.26, 0.04, 0.04, 0.02, 0.02]",1.4650029409157856,0.48,0.889,0.48,0.001,0.684,27,103
spotted salamander,9,"['fire salamander', 'smooth newt', 'american bullfrog', 'terrapin', 'cricket insect']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8,0.615,0.8,0.001,0.708,28,450
axolotl,8,"['crock pot', 'smooth newt', 'boa constrictor', 'eastern diamondback rattlesnake', 'platypus']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.8199999999999998,0.872,0.82,0.001,0.846,29,361
american bullfrog,10,"['tree frog', 'water snake', 'tailed frog', 'green iguana', 'boa constrictor']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.74,0.649,0.74,0.001,0.694,30,485
tree frog,5,"['american bullfrog', 'sidewinder rattlesnake', 'red king crab', 'cicada', 'artichoke']","[0.0399999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999984,0.8799999999999999,0.431,0.88,0.002,0.656,31,877
tailed frog,13,"['tree frog', 'american bullfrog', 'smooth newt', 'carolina anole', 'newt']","[0.2999999999999999, 0.22, 0.06, 0.04, 0.02]",0.5220925114793674,0.2,0.526,0.2,0.0,0.363,32,160
