classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Class Count
tench,8,"['oil filter', 'fishing casting reel', 'pelican', 'eel', 'silver salmon']","[0.12, 0.04, 0.02, 0.02, 0.02]",1.362792753035554,0.7200000000000001,0.766,0.72,0.001,0.743,0,16
goldfish,5,"['ladybug', 'lighter', 'oil filter', 'plastic bag', 'torch']","[0.02, 0.02, 0.02, 0.02, 0.02]",0.0,0.8999999999999999,0.549,0.9,0.002,0.724,1,644
great white shark,12,"['stingray', 'dugong', 'tiger shark', 'grey whale', 'killer whale']","[0.06, 0.06, 0.04, 0.04, 0.04]",0.4082482904638629,0.6,0.462,0.6,0.001,0.531,2,186
tiger shark,10,"['great white shark', 'oil filter', 'stingray', 'dugong', 'hammerhead shark']","[0.48, 0.08, 0.06, 0.06, 0.04]",1.4789030862143138,0.16,0.615,0.16,0.0,0.388,3,99
hammerhead shark,13,"['great white shark', 'oil filter', 'stingray', 'tiger shark', 'lighter']","[0.16, 0.1, 0.08, 0.04, 0.04]",0.617031118253275,0.42,0.875,0.42,0.0,0.648,4,45
electric ray,14,"['oil filter', 'stingray', 'flatworm', 'eel', 'coral reef']","[0.1599999999999999, 0.1199999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999]",0.6122692078855401,0.2999999999999999,0.326,0.3,0.001,0.313,5,174
stingray,12,"['electric ray', 'oil filter', 'great white shark', 'loggerhead sea turtle', 'water snake']","[0.34, 0.08, 0.02, 0.02, 0.02]",1.3787891938957206,0.38,0.413,0.38,0.001,0.396,6,332
rooster,7,"['hen', 'oil filter', 'goldfish', 'vulture', 'porcupine']","[0.2, 0.04, 0.02, 0.02, 0.02]",1.456547284601344,0.66,0.688,0.66,0.001,0.674,7,383
hen,6,"['rooster', 'oil filter', 'hay', 'vulture', 'chainsaw']","[0.26, 0.04, 0.04, 0.02, 0.02]",1.4650029409157856,0.6,0.455,0.6,0.001,0.528,8,1499
ostrich,1,['chain link fence'],[0.02],0.0,0.98,0.742,0.98,0.001,0.861,9,439
brambling,10,"['goldfinch', 'junco', 'american robin', 'hook', 'vulture']","[0.08, 0.08, 0.08, 0.06, 0.02]",-1.1500493356615304,0.5800000000000001,0.935,0.58,0.001,0.758,10,33
goldfinch,5,"['chickadee', 'brambling', 'sea slug', 'oil filter', 'cardoon']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.786,0.88,0.001,0.833,11,129
house finch,4,"['hook', 'chickadee', 'birdhouse', 'airplane wing']","[0.0599999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.1547005383792512,0.8799999999999999,0.815,0.88,0.001,0.847,12,173
junco,5,"['magpie', 'house finch', 'american robin', 'chickadee', 'hummingbird']","[0.04, 0.02, 0.02, 0.02, 0.02]",1.5000000000000009,0.88,0.863,0.88,0.001,0.871,13,136
