classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
tench,26,"['gar fish', 'terrapin', 'crayfish', 'scottish deerhound', 'longhorn beetle']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999]",1.5000000000000016,0.3399999999999999,0.515,0.34,0.001,0.428,0,0,1285
goldfish,11,"['american lobster', 'axolotl', 'crayfish', 'stingray', 'smooth newt']","[0.08, 0.06, 0.06, 0.02, 0.02]",-0.1111111111111108,0.64,0.427,0.64,0.002,0.534,1,1,1286
great white shark,10,"['tiger shark', 'hammerhead shark', 'jellyfish', 'axolotl', 'triceratops']","[0.12, 0.08, 0.06, 0.02, 0.02]",0.3513641844631532,0.5999999999999999,0.37,0.6,0.002,0.485,2,2,1278
tiger shark,11,"['great white shark', 'hammerhead shark', 'stingray', 'jellyfish', 'dugong']","[0.18, 0.1, 0.06, 0.06, 0.04]",1.0038803488549688,0.44,0.423,0.44,0.001,0.432,3,3,1281
hammerhead shark,16,"['tiger shark', 'jellyfish', 'stingray', 'great white shark', 'electric ray']","[0.0799999999999999, 0.0799999999999999, 0.0599999999999999, 0.0399999999999999, 0.0399999999999999]",7.15940788213702e-16,0.4799999999999999,0.429,0.48,0.001,0.454,4,4,1284
electric ray,24,"['jellyfish', 'stingray', 'goldfish', 'great white shark', 'brain coral']","[0.1, 0.06, 0.04, 0.04, 0.04]",1.1500493356615311,0.26,0.171,0.26,0.002,0.216,5,5,1277
stingray,17,"['electric ray', 'tiger shark', 'jellyfish', 'great white shark', 'hammerhead shark']","[0.22, 0.06, 0.06, 0.02, 0.02]",1.286470061706138,0.38,0.183,0.38,0.002,0.282,6,6,1274
rooster,14,"['hen', 'centipede', 'black grouse', 'prairie grouse', 'african grey parrot']","[0.26, 0.02, 0.02, 0.02, 0.02]",1.499999999999999,0.48,0.32,0.48,0.002,0.4,7,7,1287
hen,20,"['rooster', 'komondor', 'badger', 'ostrich', 'american dipper']","[0.18, 0.04, 0.04, 0.02, 0.02]",1.4191014536126718,0.4,0.208,0.4,0.002,0.304,8,8,1283
ostrich,15,"['african wild dog', 'mongoose', 'hen', 'wallaby', 'black stork']","[0.08, 0.06, 0.02, 0.02, 0.02]",0.5929270612815718,0.6,0.517,0.6,0.001,0.558,9,9,1280
brambling,14,"['american robin', 'ruddy turnstone', 'house finch', 'quail', 'fox squirrel']","[0.1999999999999999, 0.0799999999999999, 0.0599999999999999, 0.0599999999999999, 0.0599999999999999]",1.428626733433829,0.3399999999999999,0.436,0.34,0.001,0.388,10,10,1282
goldfinch,12,"['brambling', 'bulbul', 'bee eater', 'house finch', 'hummingbird']","[0.06, 0.06, 0.06, 0.04, 0.04]",-0.4082482904638644,0.5999999999999999,0.769,0.6,0.001,0.684,11,11,1293
house finch,15,"['american robin', 'bulbul', 'hen', 'brambling', 'kite bird of prey']","[0.12, 0.06, 0.04, 0.04, 0.04]",1.2909944487358058,0.5,0.543,0.5,0.001,0.522,12,12,1281
junco,9,"['american robin', 'brambling', 'bulbul', 'chickadee', 'quail']","[0.1399999999999999, 0.06, 0.04, 0.04, 0.04]",1.3627927530355548,0.5999999999999999,0.588,0.6,0.001,0.594,13,13,1285
indigo bunting,13,"['jay', 'magpie', 'bee eater', 'birdhouse', 'goldfinch']","[0.22, 0.04, 0.04, 0.04, 0.02]",1.458054813315981,0.4800000000000001,0.6,0.48,0.001,0.54,14,14,1281
american robin,15,"['brambling', 'house finch', 'junco', 'bald eagle', 'jay']","[0.0599999999999999, 0.0399999999999999, 0.0399999999999999, 0.0399999999999999, 0.0199999999999999]",1.3714193236627636e-15,0.5999999999999998,0.24,0.6,0.003,0.42,15,15,1288
bulbul,14,"['american robin', 'house finch', 'hummingbird', 'junco', 'jay']","[0.2799999999999999, 0.08, 0.08, 0.04, 0.04]",1.353275177302593,0.26,0.295,0.26,0.001,0.277,16,16,1285
jay,10,"['american robin', 'bulbul', 'indigo bunting', 'goldfinch', 'chickadee']","[0.1, 0.06, 0.04, 0.02, 0.02]",0.7301958930821588,0.66,0.471,0.66,0.001,0.566,17,17,1284
magpie,19,"['american robin', 'jay', 'bald eagle', 'hen', 'bulbul']","[0.1399999999999999, 0.08, 0.08, 0.04, 0.04]",0.6858276550274035,0.2799999999999999,0.519,0.28,0.001,0.4,18,18,1285
