classname,qty nonzero cols,most confused classnames,most confused scores,skewness of normalized confusion scores,accuracy,Precision,Recall,Frequency,Balanced Accuracy,index,Unnamed: 0,Class Count
tench,18,"['snoek fish', 'shoji screen  room divider', 'silver salmon', 'poke bonnet', 'eel']","[0.4, 0.1399999999999999, 0.06, 0.06, 0.04]",1.2794361106727552,0.0,0.0,0.0,0.0,0.0,0,0,1300
goldfish,17,"['jellyfish', 'soup bowl', 'mountain', 'conch', 'rock beauty fish']","[0.1, 0.06, 0.06, 0.04, 0.04]",0.9128709291752772,0.42,0.5,0.42,0.001,0.46,1,1,1300
great white shark,22,"['hammerhead shark', 'grey whale', 'tiger shark', 'sturgeon', 'cardboard box  carton']","[0.2799999999999999, 0.12, 0.06, 0.06, 0.04]",1.1922642117936406,0.06,0.6,0.06,0.0,0.33,2,2,1300
tiger shark,16,"['hammerhead shark', 'sturgeon', 'dugong', 'stingray', 'jellyfish']","[0.4, 0.16, 0.08, 0.04, 0.04]",1.15243891442068,0.04,0.4,0.04,0.0,0.22,3,3,1300
hammerhead shark,16,"['sturgeon', 'electric ray', 'redbone coonhound', 'plastic bag', 'spotlight']","[0.16, 0.04, 0.04, 0.04, 0.04]",1.5000000000000002,0.4599999999999999,0.299,0.46,0.002,0.38,4,4,1300
electric ray,24,"['sea cucumber', 'chiton', 'pufferfish', 'stingray', 'petri dish']","[0.12, 0.1, 0.08, 0.06, 0.06]",0.3631734744194293,0.12,0.074,0.12,0.002,0.097,5,5,1300
stingray,16,"['snorkel', 'electric ray', 'dugong', 'sturgeon', 'gar fish']","[0.2, 0.18, 0.06, 0.06, 0.04]",0.3982054806555846,0.18,0.265,0.18,0.001,0.222,6,6,1300
rooster,10,"['hen', 'prairie grouse', 'australian kelpie', 'barn', 'drumstick']","[0.18, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999, 0.0199999999999999]",1.4999999999999998,0.6399999999999999,0.18,0.64,0.004,0.41,7,7,1300
hen,18,"['rooster', 'hen of the woods mushroom', 'ruffed grouse', 'conch', 'common gallinule']","[0.2199999999999999, 0.0799999999999999, 0.0399999999999999, 0.0199999999999999, 0.0199999999999999]",1.2143286722953988,0.36,0.4,0.36,0.001,0.38,8,8,1300
ostrich,19,"['vulture', 'shoji screen  room divider', 'hen', 'wolf spider', 'black grouse']","[0.06, 0.04, 0.02, 0.02, 0.02]",0.8437499999999996,0.5599999999999999,0.538,0.56,0.001,0.549,9,9,1300
brambling,17,"['american dipper', 'coucal', 'junco', 'cardboard box  carton', 'indigo bunting']","[0.06, 0.06, 0.04, 0.04, 0.02]",-0.3436215967445465,0.54,0.73,0.54,0.001,0.635,10,10,1300
